2024-03-19T23:39:35.985+0300	INFO	server/server.go:207	Server responsing	{"status": 200, "size": 36}
2024-03-19T23:39:35.985+0300	INFO	server/server.go:196	Server got HTTP-request	{"uri": "/update/gauge/NextGC/4194304.000", "method": "POST", "time": "0s"}
2024-03-19T23:39:35.986+0300	INFO	server/server.go:207	Server responsing	{"status": 200, "size": 36}
2024-03-19T23:39:35.987+0300	INFO	server/server.go:196	Server got HTTP-request	{"uri": "/update/gauge/HeapIdle/2998272.000", "method": "POST", "time": "538.1µs"}
2024-03-19T23:39:35.988+0300	INFO	server/server.go:207	Server responsing	{"status": 200, "size": 36}
2024-03-19T23:39:35.988+0300	INFO	server/server.go:196	Server got HTTP-request	{"uri": "/update/gauge/Mallocs/2052.000", "method": "POST", "time": "527.5µs"}
2024-03-19T23:39:35.990+0300	INFO	server/server.go:207	Server responsing	{"status": 200, "size": 36}
2024-03-19T23:39:35.990+0300	INFO	server/server.go:196	Server got HTTP-request	{"uri": "/update/gauge/MSpanSys/48960.000", "method": "POST", "time": "0s"}
2024-03-19T23:39:35.993+0300	INFO	server/server.go:207	Server responsing	{"status": 200, "size": 36}
2024-03-19T23:39:35.993+0300	INFO	server/server.go:196	Server got HTTP-request	{"uri": "/update/gauge/StackSys/131072.000", "method": "POST", "time": "0s"}
2024-03-19T23:39:35.994+0300	INFO	server/server.go:207	Server responsing	{"status": 200, "size": 36}
2024-03-19T23:39:35.994+0300	INFO	server/server.go:196	Server got HTTP-request	{"uri": "/update/gauge/RandomValue/5539.367", "method": "POST", "time": "0s"}
2024-03-19T23:39:35.996+0300	INFO	server/server.go:207	Server responsing	{"status": 200, "size": 36}
2024-03-19T23:39:35.997+0300	INFO	server/server.go:196	Server got HTTP-request	{"uri": "/update/gauge/Alloc/325736.000", "method": "POST", "time": "539.4µs"}
2024-03-19T23:39:35.998+0300	INFO	server/server.go:207	Server responsing	{"status": 200, "size": 36}
2024-03-19T23:39:35.998+0300	INFO	server/server.go:196	Server got HTTP-request	{"uri": "/update/gauge/OtherSys/904199.000", "method": "POST", "time": "533.2µs"}
2024-03-19T23:39:36.000+0300	INFO	server/server.go:207	Server responsing	{"status": 200, "size": 36}
2024-03-19T23:39:36.000+0300	INFO	server/server.go:196	Server got HTTP-request	{"uri": "/update/counter/PollCount/4.000", "method": "POST", "time": "0s"}
2024-03-19T23:39:46.016+0300	INFO	server/server.go:207	Server responsing	{"status": 200, "size": 36}
2024-03-19T23:39:46.016+0300	INFO	server/server.go:196	Server got HTTP-request	{"uri": "/update/gauge/PauseTotalNs/0.000", "method": "POST", "time": "0s"}
2024-03-19T23:39:46.018+0300	INFO	server/server.go:207	Server responsing	{"status": 200, "size": 36}
2024-03-19T23:39:46.018+0300	INFO	server/server.go:196	Server got HTTP-request	{"uri": "/update/gauge/StackSys/655360.000", "method": "POST", "time": "0s"}
2024-03-19T23:39:46.020+0300	INFO	server/server.go:207	Server responsing	{"status": 200, "size": 36}
2024-03-19T23:39:46.020+0300	INFO	server/server.go:196	Server got HTTP-request	{"uri": "/update/gauge/StackInuse/655360.000", "method": "POST", "time": "0s"}
2024-03-19T23:39:46.021+0300	INFO	server/server.go:207	Server responsing	{"status": 200, "size": 36}
2024-03-19T23:39:46.021+0300	INFO	server/server.go:196	Server got HTTP-request	{"uri": "/update/gauge/BuckHashSys/9505.000", "method": "POST", "time": "0s"}
2024-03-19T23:39:46.023+0300	INFO	server/server.go:207	Server responsing	{"status": 200, "size": 36}
2024-03-19T23:39:46.023+0300	INFO	server/server.go:196	Server got HTTP-request	{"uri": "/update/gauge/Lookups/0.000", "method": "POST", "time": "0s"}
2024-03-19T23:39:46.024+0300	INFO	server/server.go:207	Server responsing	{"status": 200, "size": 36}
2024-03-19T23:39:46.025+0300	INFO	server/server.go:196	Server got HTTP-request	{"uri": "/update/gauge/MCacheInuse/14016.000", "method": "POST", "time": "537.4µs"}
2024-03-19T23:39:46.026+0300	INFO	server/server.go:207	Server responsing	{"status": 200, "size": 36}
